"劉松仁、周海媚、林嘉華、馬國明、
田蕊妮、湯盈盈、梁靖琪、羅樂林",蔡鍔與小鳳仙,2009,2,民初政治、史實,黃偉聲,20
"呂良偉、羅嘉良、馬德鐘、袁詠儀、
郭可盈、戚美珍、薛家燕、許紹雄、
劉兆銘、馬國明、陳敏之、王浩信",富貴門,2009,2,時裝商戰,莊偉建,41
"徐子珊、伍詠薇、曹永廉、陳敏之、
黎諾懿、苑瓊丹、王祖藍、羅敏莊",美麗高解像,2009,2,時裝恩仇,徐遇安,20
"黃宗澤、王祖藍、阮小儀、徐子珊、
苟芸慧、陳山聰、羅敏莊、艾　威",情人眼裏高一D,2010,0,時裝愛情,黃偉聲,6
"汪明荃、杜汶澤、何韻詩、吳卓羲、
陳山聰、張國強、馬　賽、呂慧儀、
郭　峰、林　利、艾　威、鄧梓峰、
金　剛、劉　江、盧宛茵",女王辦公室,2010,0,處境喜劇,黃偉聲,80
"李司棋、毛舜筠、黎耀祥、王　喜、
田蕊妮、李思捷、陳茵媺、徐　榮、
劉　丹、鄭子誠、趙永洪、陳智燊",天天天晴,2010,0,處境喜劇,徐遇安,118 （每集列表）
"郭晉安、廖碧兒、米　雪、秦　沛、
廖安麗、許紹雄、郭政鴻、林師傑、
劉倩婷、林秀怡、周家怡",依家有喜,2010,0,處境喜劇,潘嘉德,80
"陳　豪、胡杏兒、夏　雨、陳法拉、
李思捷、黎諾懿、姚子羚、麥長青",秋香怒點唐伯虎,2010,1,古裝喜劇,劉家豪,20
"馬德鐘、陳慧珊、石　修、陳敏之、
羅仲謙、阮兆祥、陳國邦、黃智雯、
劉玉翠",搜下留情,2010,1,時裝警匪,潘嘉德,20
"宣　萱、商天娥、林保怡、陶大宇、
滕麗名、陳美詩、陳山聰、曾偉權",掌上明珠,2010,1,近代倫理,林志華,30
"馬浚偉、陳錦鴻、鍾嘉欣、陳法拉、
岳　華、陳秀珠、劉　丹、朱慧敏、
姚子羚、李思欣、陳展鵬、李天翔",蒲松齡,2010,1,清裝奇幻、人物傳奇,梁材遠,25
"歐陽震華、宣　萱、李思捷、唐　寧、
陳山聰、劉玉翠、劉家輝、姚瑩瑩、
呂　珊、李　楓",施公奇案II,2010,1,清裝偵探,林志華,21
"劉松仁、林　峯、黃宗澤、葉　童
趙子琪、梁靖琪、林嘉華、呂有慧
宋汶霏",摘星之旅,2010,1,時裝商戰,"梁家樹（總）、陳　梁（總）
魯書潮、蔡晶盛",30
"夏　雨、許紹雄、商天娥、伍詠薇、
陳鍵鋒、敖嘉年、楊思琦、唐詩詠",翻叮一族,2010,1,時裝喜劇,關永忠,20
"鄧萃雯、黎耀祥、黃浩然、陳法拉、
惠英紅、岳　華、謝雪心、敖嘉年、
胡定欣、麥長青、郭　峰、黃智賢",巾幗梟雄之義海豪情,2010,1,民初恩仇,李添勝,32
"王　喜、鍾嘉欣、黃浩然、李思捷、
陳國邦、朱慧敏、苑瓊丹、石　修",囧探查過界,2010,1,時裝偵探喜劇,羅永賢,20
"汪明荃、夏　雨、鄭嘉穎、廖碧兒、
苟芸慧、曹永廉、王浩信、黃智雯、
湯盈盈、周志康、周志文、姚嘉妮",居家兵團,2010,1,時裝家庭,林志華,20
"郭晉安、關詠荷、米　雪、伍衞國、
郭政鴻、江美儀、梁烈唯、羅敏莊、
楊秀惠、張惠雅",五味人生,2010,2,民初喜劇,張乾文,25
"苗僑偉、張可頤、謝天華、李綺虹、
郭政鴻、王君馨、曹敏莉、羅敏莊、
梁烈唯、雪　妮、朱維德",老公萬歲,2010,2,時裝喜劇,唐基明,20
"鄭嘉穎、馬國明、元　秋、楊思琦、
李詩韻、唐詩詠、胡定欣、林嘉華、
向　佐、惠英紅、湯盈盈、蔣志光、
黃嘉樂、林子善
特別客串：
楊　怡、鍾景輝",鐵馬尋橋,2010,2,民初武打,李添勝,25
蔡少芬、陳　豪、曹永廉、黃德斌,飛女正傳,2010,2,時裝科幻,戚其義,25
"林　峯、楊　怡、馬國明、廖碧兒、
陳展鵬、李國麟、韓馬利、羅樂林",談情說案,2010,2,時裝查案,劉家豪,25
"鄭則士、黃浩然、徐子珊、郭羨妮、
李香琴、曹永廉、姚子羚、陳展鵬、
李天翔、苑瓊丹、郭　峰、程可為",情越雙白線,2010,2,溫情、愛情,梁材遠,20
"張可頤、米　雪、馬德鐘、滕麗名、
林嘉華、陳國邦、江美儀",女人最痛,2010,2,時裝,林志華,20
"佘詩曼、陳　豪、鍾嘉欣、黃浩然、
陳法拉、馬國明、關菊英、李香琴、
阮兆祥、李詩韻、陳敏之、李國麟、
韓馬利、惠英紅、謝雪心、蕭正楠、
蔣志光、姚子羚、郭　峰",公主嫁到,2010,2,古裝喜劇,梅小青,32
"林保怡、黃宗澤、田蕊妮、陳茵媺、
黎諾懿、謝雪心、于　洋、周美欣",讀心神探,2010,2,時裝查案,徐遇安,20
"苗僑偉、黃日華、宣　萱、胡定欣、
王浩信、王君馨、陳秀珠、梁烈唯、
李國麟、江美儀、朱咪咪、古明華[1]",刑警,2010,2,時裝警匪,唐基明,30
"馬浚偉、陳法拉、蒙嘉慧、黃德斌、
李思捷、洪天明、黃智賢、劉　丹",誘情轉駁,2010,2,時裝懸疑,徐遇安,20
